"Grading","Country","Area","Town","Postcode","Name"
"3-star","England","Greater London West","Notting Hill","W11 1PY","Elgin"
"3-star","England","Greater London West","Paddington","W2 2NH","Victoria"
"3-star","England","Greater London West","West Ealing","W13 9EP","Forester"
"3-star","England","Greater Manchester","Broadheath","WA14 5NT","Railway"
"3-star","England","Greater Manchester","Bury","BL9 0LQ","Old White Lion"
"3-star","England","Greater Manchester","Eccles","M30 0BP","Lamb Hotel"
"3-star","England","Greater Manchester","Farnworth","BL4 7DN","Shakespeare"
"3-star","England","Greater Manchester","Gorton","M18 7FB","Plough"
"3-star","England","Greater Manchester","Heywood","OL10 4PR","Grapes Inn"
"3-star","England","Greater Manchester","Manchester","M4 1PN","Unicorn"
"3-star","England","Greater Manchester","Manchester","M4 1LE","Castle Hotel"
"3-star","England","Greater Manchester","Manchester","M4 4HY","Marble Arch"
"3-star","England","Greater Manchester","Manchester","M2 7AR","Mr Thomas's Chop House"
"3-star","England","Greater Manchester","Manchester","M1 5JQ","Peveril of the Peak"
"3-star","England","Greater Manchester","Manchester","M4 4AA","Hare & Hounds"
"3-star","England","Greater Manchester","Manchester","M1 4GX","Circus Tavern"
"3-star","England","Greater Manchester","Manchester","M1 5LE","Britons Protection"
"3-star","England","Greater Manchester","Oldham","OL1 1EN","Royal Oak Hotel"
"3-star","England","Greater Manchester","Patricroft","M30 0QN","Stanley Arms"
"3-star","England","Greater Manchester","Peel Green","M30 7HD","Grapes"
"3-star","England","Greater Manchester","Rochdale","OL11 5EU","Cemetery Hotel"
"3-star","England","Greater Manchester","Stockport","SK1 1RY","Swan with Two Necks"
"3-star","England","Greater Manchester","Stockport","SK1 2LX","Arden Arms"
"3-star","England","Greater Manchester","Stockport","SK3 9NJ","Alexandra"
"3-star","England","Greater Manchester","Stockport","SK4 2NA","Nursery Inn"
"3-star","England","Greater Manchester","Weaste","M5 5NN","Coach & Horses"
"3-star","England","Greater Manchester","Westhoughton","BL5 3AN","White Lion"
"3-star","England","Greater Manchester","Wigan","WN6 7BB","Springfield Hotel"
"3-star","England","Hampshire","Hythe","SO45 6AG","Lord Nelson"
"3-star","England","Hampshire","Southampton","SO14 2NS","Red Lion"
"3-star","England","Hampshire","Steep","GU32 2DA","Harrow"
"3-star","England","Herefordshire","Kington","HR5 3BX","Olde Tavern"
"3-star","England","Herefordshire","Leintwardine","SY7 0LP","Sun Inn"
"3-star","England","Herefordshire","Leysters","HR6 0HW","Duke of York"
"3-star","England","Hertfordshire","Trowley Bottom","AL3 8DP","Rose & Crown"
"3-star","England","Isle of Wight","Bonchurch","PO38 1NU","Bonchurch Inn"
"3-star","England","Kent","Cowden Pound","TN8 5NP","Queens Arms"
"3-star","England","Kent","Faversham","ME13 7AG","Bear"
"3-star","England","Kent","Ightham Common","TN15 9EE","Old House"
"3-star","England","Kent","Snargate","TN29 9UQ","Red Lion"
"3-star","England","Lancashire","Great Harwood","BB6 7EP","Victoria"
"3-star","England","Lancashire","Preston","PR1 2EJ","Black Horse"
"3-star","England","Leicestershire","Whitwick","LE67 5GN","Three Horseshoes"
"3-star","England","Lincolnshire","Scunthorpe","DN16 2PE","Queen Bess"
"3-star","England","Lincolnshire","Scunthorpe","DN15 7DS","Berkeley Hotel"
"3-star","England","Merseyside","Birkenhead","CH41 6JE","Crown"
"3-star","England","Merseyside","Birkenhead","CH41 6JN","Stork Hotel"
"3-star","England","Merseyside","Liscard","CH44 1BB","Primrose"
"3-star","England","Merseyside","Liverpool","L7 7EB","Belvedere"
"3-star","England","Merseyside","Liverpool","L22 8QR","Volunteer Canteen"
"3-star","England","Merseyside","Liverpool","L31 4HD","Scotch Piper"
"3-star","England","Merseyside","Liverpool","L1 1JQ","Crown Hotel"
"3-star","England","Merseyside","Liverpool","L9 1AD","Prince Arthur"
"3-star","England","Merseyside","Liverpool","L1 1JQ","Vines"
"3-star","England","Merseyside","Liverpool","L1 9BX","Philharmonic Dining Rooms"
"3-star","England","Merseyside","Liverpool","L8 7LY","Peter Kavanagh's"
"3-star","England","Merseyside","Liverpool","L2 2BP","Lion Tavern"
"3-star","England","Merseyside","Southport","PR9 0QE","Guest House"
"3-star","England","Merseyside","St Helens","WA9 4HN","Wheatsheaf"
"3-star","England","North Yorkshire","Beck Hole","YO22 5LE","Birch Hall Inn"
"3-star","England","North Yorkshire","Boroughbridge","YO51 9LF","Tap on the Tutt"
"3-star","England","North Yorkshire","Middlesbrough","TS1 1EH","Christie's Brasserie - The Zetland"
"3-star","England","North Yorkshire","York","YO1 9TF","Blue Bell"
"3-star","England","North Yorkshire","York","YO1 7PR","Black Swan"
"3-star","England","North Yorkshire","York","YO1 6DU","Golden Ball"
"3-star","England","North Yorkshire","York","YO23 1JH","Swan"
"3-star","England","Northumberland","Berwick upon Tweed","TD15 1LF","Free Trade"
"3-star","England","Northumberland","Netherton","NE65 7HD","Star Inn"
"3-star","England","Nottinghamshire","Beeston","NG9 1FY","Crown Inn"
"3-star","England","Nottinghamshire","Nottingham: Central","NG1 6AD","Olde Trip to Jerusalem"
"3-star","England","Nottinghamshire","West Bridgford","NG2 5LP","Test Match Hotel"
"3-star","England","Oxfordshire","Steventon","OX13 6SG","North Star"
"3-star","England","Oxfordshire","Stoke Lyne","OX27 8SD","Peyton Arms"
"3-star","England","Shropshire","Shrewsbury","SY1 1UG","Loggerheads"
"3-star","England","Shropshire","Telford","TF2 7AL","Bulls Head"
"3-star","England","Somerset","Bath","BA1 5NA","Star Inn"
"3-star","England","Somerset","Bath","BA1 2JZ","Old Green Tree"
"3-star","England","Somerset","Faulkland","BA3 5XF","Tucker's Grave"
"3-star","England","Somerset","Huish Episcopi","TA10 9QT","Rose & Crown"
"3-star","England","Somerset","Priddy","BA5 3AR","Hunters' Lodge"
"3-star","England","Somerset","Witham Friary","BA11 5HF","Seymour Arms"
"3-star","England","South Yorkshire","Barnburgh","DN5 7EP","Coach & Horses"
"3-star","England","South Yorkshire","Doncaster","DN1 1SF","Little Plough"
"3-star","England","South Yorkshire","Sheffield: Central","S1 2BP","Sheffield Tap"
"3-star","England","South Yorkshire","Sheffield: Central","S3 7QL","Bath Hotel"
"3-star","England","Staffordshire","Burton upon Trent","DE14 1EG","Coopers Tavern"
"3-star","England","Staffordshire","Cannock","WS11 0AL","Crystal Fountain"
"3-star","England","Staffordshire","High Offley","ST20 0NG","Anchor Inn"
"3-star","England","Staffordshire","Rugeley","WS15 2JH","Red Lion"
"3-star","England","Staffordshire","Stoke-on-Trent","ST1 3EA","Coachmakers Arms"
"3-star","England","Staffordshire","Stoke-on-Trent","ST6 3AJ","Duke William"
"3-star","England","Staffordshire","Stoke-on-Trent","ST6 6LS","Vine"
"3-star","England","Suffolk","Brent Eleigh","CO10 9PB","Cock"
"3-star","England","Suffolk","Bury St. Edmunds","IP33 1BJ","Nutshell"
"3-star","England","Suffolk","Ipswich","IP3 0PQ","Margaret Catchpole"
"3-star","England","Suffolk","Laxfield","IP13 8DW","King's Head"
"3-star","England","Surrey","Walton-on-the- Hill","KT20 7UJ","Bell"
"3-star","England","Surrey","Warlingham","CR6 9EG","White Lion"
"3-star","England","Tyne & Wear","Gateshead","NE8 2AN","Central"
"3-star","England","Tyne & Wear","Newcastle upon Tyne","NE1 3JE","Crown Posada"
"3-star","England","Tyne & Wear","South Shields","NE33 1NS","Stags Head"
"3-star","England","Tyne & Wear","Sunderland","SR1 3HA","Dun Cow"
"3-star","England","Tyne & Wear","Sunderland","SR4 7XT","Mountain Daisy"
"3-star","England","West Midlands","Birmingham","B23 6UG","Red Lion"
"3-star","England","West Midlands","Birmingham","B14 7JZ","Hare & Hounds"
"3-star","England","West Midlands","Birmingham","B18 5JU","Black Eagle"
"3-star","England","West Midlands","Birmingham","B30 2XS","British Oak"
"3-star","England","West Midlands","Birmingham","B7 5PD","Villa Tavern"
"3-star","England","West Midlands","Birmingham","B18 6JW","Rose Villa Tavern"
"3-star","England","West Midlands","Birmingham","B6 4UP","Bartons Arms"
"3-star","England","West Midlands","Birmingham","B21 9LX","Red Lion"
"3-star","England","West Midlands","Birmingham","B4 7XG","Woodman"
"3-star","England","West Midlands","Birmingham","B12 0QY","White Swan"
"3-star","England","West Midlands","Birmingham","B5 6ET","Anchor"
"3-star","England","West Midlands","Bloxwich","WS3 2EZ","Turf Tavern"
"3-star","England","West Midlands","Bloxwich","WS3 2HN","Romping Cat"
"3-star","England","West Midlands","Netherton","DY2 9PY","Old Swan"
"3-star","England","West Midlands","Oldbury","B69 3AD","Waggon & Horses"
"3-star","England","West Midlands","Rushall","WS4 1LG","Manor Arms"
"3-star","England","West Midlands","Sedgley","DY3 1JE","Beacon Hotel"
"3-star","England","West Midlands","Smethwick","B66 4RQ","Waterloo"
"3-star","England","West Midlands","Wednesbury","WS10 9AX","Horse & Jockey"
"3-star","England","West Midlands","Wednesfield","WV11 1TN","Vine"
"3-star","England","West Midlands","Wolverhampton","WV1 1DG","Posada"
"3-star","England","West Sussex","Balls Cross","GU28 9JP","Stag Inn"
"3-star","England","West Sussex","Horsted Keynes Station","RH17 7BB","King George V Buffet"
"3-star","England","West Sussex","The Haven","RH14 9BS","Blue Ship"
"3-star","England","West Yorkshire","Halifax: Town Centre","HX1 2LX","Three Pigeons"
"3-star","England","West Yorkshire","Heath","WF1 5SL","Kings Arms"
"3-star","England","West Yorkshire","Huddersfield","HD1 5AY","Sportsman"
"3-star","England","West Yorkshire","Leeds","LS12 1HX","Beech"
"3-star","England","West Yorkshire","Leeds","LS10 2QB","Garden Gate"
"3-star","England","West Yorkshire","Leeds","LS4 2HQ","Cardigan Arms"
"3-star","England","West Yorkshire","Leeds","LS1 6HB","Whitelock's Ale House"
"3-star","England","West Yorkshire","Leeds","LS10 1JQ","Adelphi"
"3-star","England","West Yorkshire","Pudsey","LS28 8PR","Royal Hotel"
"3-star","England","Wiltshire","Easton Royal","SN9 5LR","Bruce Arms"
"3-star","England","Wiltshire","Salisbury","SP1 1TB","Haunch of Venison"
"3-star","England","Worcestershire","Bretforton","WR11 7JE","Fleece Inn"
"3-star","England","Worcestershire","Clent","DY9 9QL","Bell & Cross"
"3-star","England","Worcestershire","Defford","WR8 9BW","Monkey House"
"3-star","England","Worcestershire","Hanley Castle","WR8 0BL","Three Kings"
"3-star","England","Worcestershire","Worcester","WR5 1PE","Punch Bowl"
"3-star","England","Worcestershire","Worcester","WR1 2NA","Cardinal's Hat"
"3-star","England","Worcestershire","Worcester","WR1 3PA","Paul Pry"
"3-star","Northern Ireland","Northern Ireland","Ballycastle","BT54 6AS","House of McDonnell"
"3-star","Northern Ireland","Northern Ireland","Ballycastle","BT54 6AW","Boyd Arms"
"3-star","Northern Ireland","Northern Ireland","Ballyeaston","BT39 9SH","Carmichael's"
"3-star","Northern Ireland","Northern Ireland","Belfast","BT12 7AB","Fort Bar"
"3-star","Northern Ireland","Northern Ireland","Belfast","BT2 7BA","Crown"
"3-star","Northern Ireland","Northern Ireland","Bushmills","BT57 8QD","Bush House"
"3-star","Northern Ireland","Northern Ireland","Camlough","BT35 7JG","Carraghers Bar"
"3-star","Northern Ireland","Northern Ireland","Enniskillen","BT74 7EJ","Blakes of the Hollow"
"3-star","Northern Ireland","Northern Ireland","Irvinestown","BT94 1GJ","Central Bar"
"3-star","Northern Ireland","Northern Ireland","Killyleagh","BT30 9QF","Dufferin Arms"
"3-star","Northern Ireland","Northern Ireland","Limavady","BT49 0EU","Owens Bar"
"3-star","Northern Ireland","Northern Ireland","Portadown","BT62 3PB","McConville's"
"3-star","Scotland","Aberdeen & Grampian","Aberdeen","AB25 1BU","Blue Lamp"
"3-star","Scotland","Aberdeen & Grampian","Aberdeen","AB11 6BA","Grill"
"3-star","Scotland","Aberdeen & Grampian","Craigellachie","AB38 9RR","Fiddichside Inn"
"3-star","Scotland","Argyll & The Isles","Kilmelford","PA34 4XA","Cuilfail"
"3-star","Scotland","Argyll & The Isles","Lochgilphead","PA31 8JL","Commercial"
"3-star","Scotland","Ayrshire & Arran","Dalry","KA24 5DH","Volunteer Arms"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH1 3RJ","Barony Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH12 5NG","Roseburn Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH6 8LN","Central Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 3JD","Kenilworth"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 2AA","Cafe Royal"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH9 1SU","John Leslie [Leslie's Bar]"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 4JB","Oxford Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 4PA","H. P. Mather [Mathers West End]"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH3 9LG","Bennets Bar"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 2PR","Abbotsford Bar & Restaurant"
"3-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH2 2AA","Voodoo Rooms"
"3-star","Scotland","Edinburgh & The Lothians","Prestonpans","EH32 9BE","Bombay Bar & Grill"
"3-star","Scotland","Edinburgh & The Lothians","West Calder","EH55 8DL","Railway Inn"
"3-star","Scotland","Fife","Kincardine","FK10 4LX","Railway Tavern"
"3-star","Scotland","Fife","Kirkcaldy","KY1 2PH","Feuars Arms"
"3-star","Scotland","Fife","Leslie","KY6 3AZ","Auld Hoose"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G5 9HU","Laurieston Bar"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G32 9AL","Railway Tavern"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G2 8BG","Sloans"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G32 7NB","Portland Arms"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G1 1UP","Steps Bar"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G51 1LF","Old Toll Bar"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G2 5AE","Horse Shoe"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Glasgow","G51 3DJ","Brechin's"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Paisley","PA1 1XU","Bull Inn"
"3-star","Scotland","Greater Glasgow & Clyde Valley","Renton","G82 4NL","Central Bar"
"3-star","Scotland","Tayside","Dundee","DD3 7SD","Frews Bar"
"3-star","Scotland","Tayside","Dundee","DD2 1AS","Speedwell Bar"
"3-star","Scotland","Tayside","Dundee","DD3 7SW","Clep Bar"
"3-star","Wales","Glamorgan","Cardiff","CF10 1GH","Golden Cross"
"3-star","Wales","Mid Wales","Cemmaes Road","SY20 8JZ","Dovey Valley Hotel"
"3-star","Wales","Mid Wales","Llanidloes","SY18 6EF","Crown & Anchor"
"3-star","Wales","North-East Wales","Ysceifiog","CH8 8NJ","Fox"
"3-star","Wales","North-West Wales","Bethesda","LL57 3AY","Douglas Arms Hotel"
"3-star","Wales","North-West Wales","Conwy","LL32 8RF","Albion Ale House"
"3-star","Wales","West Wales","Llandovery","SA20 0AA","Red Lion"
"3-star","Wales","West Wales","Pontfaen","SA65 9SE","Dyffryn Arms"
